category,days_to_expiry,base_price,markdown_pct,price,units_sold
dairy,4,11.14,30,7.8,57.9
dairy,1,3.59,0,3.59,74.0
dairy,7,6.77,30,4.74,80.3
dairy,0,13.15,0,13.15,64.0
dairy,3,6.09,0,6.09,42.4
dairy,7,13.92,0,13.92,35.7
dairy,4,9.59,0,9.59,32.1
dairy,0,6.35,30,4.45,137.2
dairy,5,7.78,30,5.45,64.4
dairy,1,10.59,0,10.59,55.2
dairy,4,12.16,0,12.16,32.8
dairy,4,7.76,10,6.98,34.1
dairy,6,8.16,0,8.16,37.3
dairy,3,5.16,40,3.1,97.1
dairy,2,14.23,50,7.12,195.1
dairy,2,9.6,0,9.6,36.9
dairy,7,4.16,30,2.91,63.6
dairy,5,11.08,30,7.76,53.6
dairy,3,5.56,0,5.56,30.5
dairy,1,11.14,20,8.91,70.4
dairy,5,7.83,20,6.27,45.2
dairy,6,10.76,30,7.53,139.6
dairy,3,11.75,20,9.4,42.0
dairy,7,7.3,50,3.65,133.4
dairy,5,11.9,0,11.9,41.0
dairy,6,7.84,20,6.27,50.0
dairy,7,10.41,0,10.41,41.8
dairy,5,2.92,50,1.46,120.2
dairy,5,6.78,10,6.1,32.9
dairy,1,6.23,40,3.74,99.6
dairy,7,11.8,20,9.44,45.5
dairy,5,10.39,0,10.39,36.9
dairy,0,5.69,0,5.69,64.6
dairy,2,9.18,0,9.18,28.7
dairy,7,4.48,10,4.03,93.6
dairy,0,14.12,0,14.12,41.7
dairy,5,6.81,0,6.81,38.0
dairy,0,7.51,20,6.01,57.4
dairy,3,10.93,20,8.74,51.7
dairy,5,4.03,20,3.23,63.2
dairy,0,12.62,0,12.62,45.1
dairy,5,5.2,30,3.64,61.9
dairy,2,14.04,0,14.04,31.9
dairy,0,14.0,20,11.2,73.8
dairy,6,8.69,0,8.69,36.8
dairy,3,5.74,20,4.59,72.6
dairy,0,10.83,20,8.67,63.4
dairy,5,7.09,30,4.96,72.4
dairy,2,3.88,20,3.1,81.9
dairy,6,12.74,40,7.65,72.9
dairy,5,12.43,30,8.7,56.6
dairy,6,10.8,50,5.4,93.1
dairy,5,7.33,50,3.67,111.9
dairy,5,7.3,20,5.84,44.5
dairy,7,14.51,30,10.16,48.9
dairy,4,10.17,0,10.17,27.3
dairy,0,2.23,10,2.01,77.6
dairy,1,8.99,0,8.99,49.7
dairy,6,7.52,40,4.51,74.9
dairy,3,3.89,0,3.89,30.7
dairy,2,8.3,40,4.98,56.9
dairy,3,14.25,20,11.4,48.4
dairy,1,8.32,0,8.32,57.3
dairy,1,13.79,50,6.89,139.8
dairy,0,11.68,0,11.68,44.6
dairy,0,8.09,0,8.09,29.6
dairy,1,11.04,50,5.52,78.8
dairy,7,12.74,20,10.19,43.4
dairy,5,5.13,10,4.62,43.3
dairy,0,4.59,10,4.13,78.9
dairy,6,12.09,0,12.09,33.4
dairy,0,8.48,50,4.24,214.7
dairy,2,11.96,0,11.96,43.9
dairy,5,4.54,10,4.08,46.2
dairy,4,13.8,30,9.66,84.6
dairy,0,13.97,30,9.78,102.0
dairy,5,14.96,0,14.96,34.3
dairy,5,7.32,30,5.12,81.0
dairy,1,13.56,0,13.56,52.4
dairy,6,7.16,0,7.16,29.3
dairy,4,13.65,0,13.65,39.3
dairy,0,9.49,20,7.6,87.5
dairy,7,8.69,0,8.69,42.7
dairy,1,13.85,0,13.85,33.0
dairy,5,14.92,10,13.43,59.1
dairy,7,14.7,10,13.23,72.1
dairy,5,2.42,0,2.42,47.3
dairy,7,3.68,20,2.95,43.7
dairy,7,2.28,20,1.83,58.0
dairy,0,6.53,40,3.92,145.2
dairy,5,12.76,10,11.48,37.9
dairy,6,13.06,10,11.76,47.8
dairy,5,11.8,10,10.62,47.4
dairy,4,13.87,10,12.49,35.2
dairy,4,5.85,0,5.85,102.6
dairy,7,7.81,10,7.03,51.0
dairy,6,7.76,0,7.76,51.8
dairy,3,5.63,0,5.63,46.9
dairy,3,9.53,40,5.72,85.6
dairy,0,6.29,50,3.14,207.7
dairy,4,9.79,0,9.79,44.8
dairy,2,4.2,0,4.2,40.6
dairy,4,12.01,20,9.6,55.6
dairy,6,7.4,0,7.4,45.0
dairy,4,10.39,0,10.39,59.2
dairy,5,14.58,0,14.58,31.3
dairy,6,2.68,0,2.68,23.9
dairy,1,14.73,0,14.73,76.9
dairy,4,12.2,20,9.76,55.5
dairy,7,8.95,0,8.95,39.6
dairy,0,13.3,30,9.31,103.1
dairy,4,2.57,0,2.57,47.8
dairy,7,2.77,20,2.22,65.3
dairy,4,3.11,40,1.86,66.9
dairy,6,14.97,30,10.48,89.4
dairy,6,3.82,50,1.91,167.0
dairy,6,2.98,0,2.98,20.7
dairy,0,4.86,0,4.86,47.2
dairy,7,5.1,20,4.08,65.0
dairy,4,9.05,30,6.33,38.4
dairy,3,5.99,50,2.99,88.9
dairy,7,14.4,0,14.4,41.1
dairy,4,2.12,50,1.06,103.1
dairy,4,11.32,0,11.32,50.2
dairy,2,14.37,30,10.06,109.5
dairy,4,12.91,20,10.32,54.1
dairy,7,10.88,20,8.7,44.8
dairy,5,7.45,10,6.71,55.7
dairy,4,8.88,30,6.22,60.5
dairy,4,8.11,20,6.49,48.0
dairy,5,10.97,20,8.77,78.1
dairy,3,6.88,0,6.88,37.6
dairy,3,3.47,40,2.08,108.5
dairy,3,4.67,40,2.8,79.3
dairy,0,8.68,20,6.95,142.8
dairy,7,8.72,30,6.1,68.4
dairy,1,13.2,30,9.24,110.3
dairy,4,8.83,50,4.42,88.1
dairy,4,12.88,40,7.73,154.6
dairy,2,5.1,0,5.1,55.5
dairy,7,8.34,0,8.34,40.7
dairy,6,14.64,0,14.64,46.6
dairy,1,10.77,30,7.54,56.6
dairy,1,6.92,20,5.53,95.2
dairy,3,11.03,0,11.03,56.8
dairy,2,3.27,10,2.94,80.2
dairy,6,8.91,20,7.13,43.0
dairy,4,3.38,0,3.38,48.6
dairy,7,12.07,20,9.65,43.0
dairy,3,6.03,20,4.82,59.5
dairy,5,2.49,0,2.49,40.5
dairy,3,9.76,50,4.88,82.6
dairy,6,10.46,10,9.42,52.2
dairy,4,14.99,10,13.49,46.4
dairy,0,14.83,10,13.34,46.8
dairy,0,9.6,0,9.6,61.4
dairy,3,11.52,10,10.37,67.6
dairy,6,11.81,30,8.27,62.0
dairy,6,10.48,30,7.34,45.5
dairy,1,3.36,10,3.03,93.4
dairy,6,4.16,20,3.33,81.6
dairy,1,8.58,30,6.0,83.6
dairy,3,3.34,10,3.01,52.1
dairy,3,10.97,20,8.78,75.2
dairy,3,9.31,10,8.38,38.6
dairy,0,4.39,0,4.39,41.9
dairy,5,6.47,10,5.82,47.6
dairy,5,8.03,10,7.23,73.1
dairy,3,12.52,50,6.26,103.4
dairy,2,7.26,30,5.08,104.6
dairy,4,6.43,40,3.86,80.0
dairy,7,5.99,50,2.99,86.3
dairy,1,2.9,20,2.32,46.5
dairy,1,13.44,20,10.75,55.2
